#MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE SP_TYPE SP_QUAL SP_BIBCODE OTYPE Distance_distance Distance_Q Distance_unit Distance_merr Distance_perr Distance_method Distance_bibcode RVZ_TYPE RVZ_RADVEL RVZ_ERROR RVZ_QUAL RVZ_WAVELENGTH RVZ_BIBCODE OTYPES RA_d DEC_d BIBLIST_1990_2020
"b'[CCJ2005] NGC 5471  7'" "14 04 29.15" "+54 23 45.9" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12146000 54.39608000 1
"b'[CCJ2005] NGC 5471  4'" "14 04 28.88" "+54 23 47.8" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12033000 54.39661000 1
"b'[CCG2002] 23'" "14 04 29.33" "+54 23 50.2" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12221000 54.39728000 1
"b'[CCJ2005] NGC 5471  3'" "14 04 28.86" "+54 23 48.2" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12025000 54.39672000 1
"b'[CCG2002]  6'" "14 04 29.06" "+54 23 50.7" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12108000 54.39742000 1
"b'[CCJ2005] NGC 5471 13'" "14 04 29.37" "+54 23 46.5" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12237000 54.39625000 1
"b'[CCG2002]  4'" "14 04 29.03" "+54 23 50.9" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12096000 54.39747000 1
"b'[CCJ2005] NGC 5471 14'" "14 04 29.38" "+54 23 46.2" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12242000 54.39617000 1
"b'[CCJ2005] NGC 5471  8'" "14 04 29.17" "+54 23 45.4" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12154000 54.39594000 1
"b'[SAB2000] 140243.54+543805.4'" "14 04 29.13" "+54 23 45.4" 6 6 "" "" 0 D "" b'2000ApJ...538..608S' b'' "" b'' b'UV' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'UV' 211.12137000 54.39594000 1
"b'SDSS J140429.26+542353.1'" "14 04 29.263" "+54 23 53.16" 7 7 55.000 54.000 0 C O b'2009yCat.2294....0A' b'' "" b'' b'X' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'X|SR?' 211.12192800 54.39810000 2
"b'[CCG2002] 17'" "14 04 29.21" "+54 23 53.1" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12171000 54.39808000 1
"b'[CCG2002] 22'" "14 04 29.29" "+54 23 52.9" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Assoc*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'As*|*' 211.12204000 54.39803000 1
"b'[CCJ2005] NGC 5471 11'" "14 04 29.29" "+54 23 52.9" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12204000 54.39803000 1
"b'[CCJ2005] NGC 5471 10'" "14 04 29.29" "+54 23 52.4" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12204000 54.39789000 1
"b'[CCG2002] 21'" "14 04 29.29" "+54 23 52.4" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Assoc*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'As*|*' 211.12204000 54.39789000 1
"b'[CCG2002] 14'" "14 04 29.15" "+54 23 53.3" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12146000 54.39814000 1
"b'CXO J140429.2+542352'" "14 04 29.2" "+54 23 52" 5 5 "" "" 0 D "" b'2012ApJ...760...61S' b'' "" b'' b'HMXB' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'X|HXB' 211.12170000 54.39780000 2
"b'[LB2005] NGC  5457 X26'" "14 04 29.14" "+54 23 53.4" 6 6 "" "" 0 D "" b'2006A&A...452..739S' b'' "" b'' b'X' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Rad|X' 211.12142000 54.39817000 5
"b'[CCG2002] 24'" "14 04 29.34" "+54 23 53.8" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12225000 54.39828000 1
"b'CXOU J140429.1+542353'" "14 04 29.1" "+54 23 53" 5 5 "" "" 0 D "" b'1999ApJ...517L..27W' b'' "" b'' b'SNR' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'X|PoC|SNR' 211.12120000 54.39810000 32
"b'[CCG2002]  9'" "14 04 29.10" "+54 23 53.4" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12125000 54.39817000 1
"b'XMMXCS J140429.1+542353.6'" "14 04 29.10" "+54 23 53.6" 6 6 "" "" 0 D X b'2015MNRAS.452.1171W' b'' "" b'' b'ClG' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'ClG|ClG' 211.12125000 54.39822000 1
"b'[CCG2002] 15'" "14 04 29.16" "+54 23 54.2" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12150000 54.39839000 1
"b'[CCG2002] 20'" "14 04 29.28" "+54 23 54.5" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12200000 54.39847000 1
"b'[CCG2002] 25'" "14 04 29.34" "+54 23 54.3" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12225000 54.39842000 1
"b'[CCG2002]  8'" "14 04 29.09" "+54 23 53.8" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12121000 54.39828000 1
"b'[CCG2002] 16'" "14 04 29.18" "+54 23 51.4" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12158000 54.39761000 1
"b'[CCG2002] 18'" "14 04 29.27" "+54 23 51.3" 6 6 "" "" 0 D "" b'2002AJ....123.2462C' b'' "" b'' b'Star' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'*' 211.12196000 54.39758000 1
"b'[CCJ2005] NGC 5471 15'" "14 04 29.39" "+54 23 51.8" 6 6 "" "" 0 D "" b'2005ApJ...619..779C' b'' "" b'' b'Cl*' "" "" "" "" "" "" "" "" "" "" "" "" b'' b'Cl*' 211.12246000 54.39772000 1
