# Tile    Id      RA_1       DEC_1     MAIN_ID                          RA_2          DEC_2         RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE            SP_TYPE      SP_QUAL SP_BIBCODE             OTYPE        Distance_distance Distance_Q Distance_unit Distance_merr Distance_perr Distance_method Distance_bibcode    RVZ_TYPE RVZ_RADVEL RVZ_ERROR RVZ_QUAL RVZ_WAVELENGTH RVZ_BIBCODE            OTYPES                             RA_d         DEC_d       BIBLIST_1990_2020 Separation         
  68634.0 16015.0 210.605519 54.454592 "b\'HGGK  101\'"                 "14 02 25.3"  "+54 27 17"   5       5        ""           ""           0             D        ""             "b\'\'"                "b\'\'"      ""      "b\'\'"                "b\'HII\'"   ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'HII\'"                         210.6054     54.4547     1                 0.46172601854380063
  68634.0 16234.0 210.958026 54.464026 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 16473.0 211.045855 54.422678 "b\'HGGK 1216\'"                 "14 04 10.9745" "+54 25 21.314" 14      14       0.928        0.888        90            A        O              "b\'2018yCat.1345....0G\'" "b\'\'"      ""      "b\'\'"                "b\'HII\'"   ""                ""         ""            ""            ""            ""              ""                  z        0.001      0.0       C        ""             "b\'2009yCat.2294....0A\'" "b\'HII|HII|HII|*|PoG|GiG|UV\'"    211.0457274  54.42258741 18                0.42164306157020887
  68634.0 16481.0 211.046879 54.421687 "b\'SDSS J140411.24+542518.6\'"  "14 04 11.240" "+54 25 18.73" 7       7        ""           ""           0             C        O              "b\'2009yCat.2294....0A\'" "b\'\'"      ""      "b\'\'"                "b\'HII_G\'" ""                ""         ""            ""            ""            ""              ""                  z        0.001      0.0       C        ""             "b\'2009yCat.2294....0A\'" "b\'HII|G|GiG|H2G\'"               211.046833   54.421869   3                 0.6622462153691734 
  68634.0 16543.0 210.575429 54.372973 "b\'SDSSCGB 11596.3\'"           "14 02 17.974" "+54 22 22.34" 7       7        ""           ""           0             C        O              "b\'2009yCat.2294....0A\'" "b\'\'"      ""      "b\'\'"                "b\'Galaxy\'" ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'G|GiG\'"                       210.574892   54.372872   1                 1.1833480520315247 
  68634.0 16609.0 210.637849 54.425338 "b\'SDSS J140233.07+542530.4\'"  "14 02 33.08" "+54 25 30.5" 6       6        56.0         55.0         0             C        O              "b\'2007yCat.2276....0A\'" "b\'\'"      ""      "b\'\'"                "b\'HII\'"   ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'HII\'"                         210.63783    54.42514    1                 0.7139098680204072 
  68634.0 16616.0 210.588127 54.363185 ""                               ""            ""            ""      ""       ""           ""           ""            ""       ""             ""                     ""           ""      ""                     ""           ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             ""                     ""                                 ""           ""          ""                ""                 
  68634.0 16639.0 210.591907 54.366089 "b\'HGGK   79\'"                 "14 02 21.9"  "+54 21 59"   5       5        ""           ""           0             D        ""             "b\'\'"                "b\'\'"      ""      "b\'\'"                "b\'HII\'"   ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'HII\'"                         210.5912     54.3664     4                 1.8580403043270908 
  68634.0 16776.0 211.121464 54.396744 "b\'HGGK 1239\'"                 "14 04 29.000" "+54 23 48.56" 7       7        ""           ""           0             D        O              "b\'2016ApJ...830....4C\'" "b\'\'"      ""      "b\'\'"                "b\'HII\'"   ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'HII|HII\'"                     211.120833   54.396822   3                 1.3519370788311347 
  68634.0 16755.0 211.121854 54.39804  "b\'SDSS J140429.26+542353.1\'"  "14 04 29.263" "+54 23 53.16" 7       7        55.0         54.0         0             C        O              "b\'2009yCat.2294....0A\'" "b\'\'"      ""      "b\'\'"                "b\'X\'"     ""                ""         ""            ""            ""            ""              ""                  ""       ""         ""        ""       ""             "b\'\'"                "b\'X|SR?\'"                       211.121928   54.3981     2                 0.2659084662689804 
